metric,period1,period2,delta
Mean_R2,0.784790104799752,0.8967807413517945,0.11199063655204256
Mean_Adj_R2,0.7059750185608431,0.8644328618649729,0.15845784330412982
Alpha_Sig_Rate_pct,31.147540983606557,26.31578947368421,-4.8317515099223485
MOM_Sig_Rate_pct,34.42622950819672,31.57894736842105,-2.8472821397756682
Mean_MOM_Beta,-0.1326213670679831,-0.06306693464849557,0.06955443241948754
Std_MOM_Beta,0.8508582922716555,0.8246354703565089,-0.026222821915146688
Delta_R2,,,0.11199063655204256
Delta_MOM_Sig_pct,,,-2.8472821397756682
Coefficient_Stability,,,0.13591570586940444
